Unnamed: 0,Email Text,Email Type,label
15020,start date : 12 / 17 / 01 ; hourahead hour : 8 ; start date : 12 / 17 / 01 ; hourahead hour : 8 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2001121708 . txt,Safe Email,0
12545,one more . . . http : / / www . cfo . com / article ? article = 6748 i ' ll stop now . jim lokay 4 quest . com jlokay @ 4 quest . com 713 - 524 - 8085,Safe Email,0
8792,"> Now, to do this, we all know they have to be cracking the strong crypto used
> on all transaction in order to process them... So this has some preaty heavy
> implications, unless it's just BS.Anybody buying a box like this is undoubtledly going to integrate it into their
crypto infrastructure.  What's the point of putting in a box like this if it's
not an active participant in your security framework?> Or.... you could just not bloat it 20x to begin with. Nah! (that was the
> whole point of XML afterall, to sell more CPUs - much like Oracle's use of
> Java allows them to sell 3x more CPU licenses due to the performance hit)Blah, blah, blah.  The marketing FUD gets compounded by the Beberg FUD, talk
about 20x bloat.> Again, see above... they _are_ claiming to decode the crypto...What gives you the impression that's what they're doing?  That's not what the
text says.  It's largely fluff anyway.> > ""Our XG3 execution core converts XML to machine code,"" said Kelly,
> Mmmmmmmmmmm, machine code, never a good idea ;)Uhhh, fundamentally it's all machine code.  Kelly's comment seems more like
drivel from a clueless marketroid than anything of technical concern.Having what appears to be a silicon XML router would be a cool thing.  Having
one integrated with your crypto environment would kick ass.  Let it
deserialize/decrypt/repackage the XML before handing it off to the app servers.
The question, of course, is does it work with actual applications in the field
without tremendously reworking them.  Somehow I doubt it...-Bill Kearney",Safe Email,0
9918,"the internet success toolbox note : we do not wish to send e-mail to anyone that does not want it so please send an e-mail to : remove929 @ yahoo . com you will be removed promptly . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * "" the internet success toolbox "" the most complete marketing software package available anywhere ! this is what you will receive on cd-rom : 1 . stealth mass mailer ( $ 399 . 00 value ) - this unique , first of it 's kind - software that allows you to easily send 250 , 000 e-mail messages an hour . simply enough by making a single connection to the internet using a standard modem , and connecting to either 20 different mail servers , or a single mail server 20 times . this , easy to use , software is designed for the basic computer user to understand . it 's as easy as imputing the mail server , selecting the list of e-mail recipients to send to , inserting your e-mail address , adding your subject line , selecting your sales letter , and pressing send . 2 . e - mail pro extractor ( $ 350 . 00 value ) - this one of a kind software program is designed to manage and clean up any list of e-mail addresses . it will purge duplicates , manage removes and delete undeliverables . it will also separate and categorize your list of e-mail addresses by domain names . the e - mail pro version 4 . 0 bulk e - mail loader also imports simple text files that anyone can download from aol , compuserve , the internet , etc . . . these text files contain classified ads , forum messages , or data from the member directory . each of these files are filled with e-mail addresses . 3 . check deposit system ( $ 125 . 00 value ) - check deposit system version 2 . 1 is a state of the art , revolutionary software that allows you to easily and legally process checks by fax , phone or internet . the customer 's signature on the check is not necessary . 4 . 16 million e - mail addresses ( $ 149 . 00 value ) - we took a total of over 92 million e-mail addresses from many of the touted cd 's that are out there ( bought them all - some were $ 300 + ) ! we added the millions we had in storage to those . when we combined them all , we had in excess of 100 + million addresses in one huge file . we then ran a super "" sort / de-dupe "" program against this huge list . it cut the file down to less than 25 million ! ! we then ran a program that contained 150 + keywords to remove addresses with vulgarity , profanity , sex-related names , postmaster , webmaster , flamer , abuse , spam , etc . . . also we eliminated all . edu , . mil . , org . , gov . , etc . . . after that list was run against the remaining list , it reduced it down to near 16 million addresses ! so , you see , our list will save people hundreds of dollars buying all others that are out there on cd . using ours will be like using the 100 + million that we started with , but a lot less money and a lot less time ! if you order "" the internet success toolbox "" for $ 395 . 00 within the next 7 days , you ' ll also receive the following awesome bonuses absolutely free . a value of over $ 600 . 00 ! ! ! to order : _ _ _ _ yes ! i ' m bursting with anticipation ! please send me "" the internet success toolbox "" so i can start advertising my business to "" millions of people "" - absolutely free ! i ' m anxious to see how others are creating immediate "" cash-flow explosions "" , and eliminating most of their advertising and marketing costs - and how i can do the same ! enclosed is $ 395 . _ _ _ _ yes again ! because i ' m responding within 7 days , i will receive 6 bonuses with a total value of $ 663 . 90 - absolutely free ! they include : bonus # 1 ( $ 39 value ) : "" search engine secrets "" - discover the most powerful and proven strategies that really work to place you at the top of the search engines ! bonus # 2 ( $ 195 value ) : a free one year subcription to "" the internet success toolbox newsletter "" - my ticket to marketing and internet cash flow heaven ! bonus # 3 ( $ 39 . 95 value ) : your hotline list of "" 7000 free classified ad sites on the internet "" - a virtual goldmine ! bonus # 4 ( $ 19 . 95 value ) : a free special report titled "" how to put your business on automatic pilot and turn your marketing system into a predictable , turnkey , cash - flow machine that keeps on working - even when you do n't ! ! "" bonus # 5 ( $ 195 value ) : unlimited technical support . even though "" the internet success toolbox "" will be simple to use , it 's great to know support is always available - if and when you really need it ! and last but not least . . . . bonus # 6 ( $ 175 value ) : order within 7 days and i ' ll also throw in a free vacation certificate good for 3 days and 2 nights of free lodging at one of over 30 "" premier "" resorts . some vacation spots you can choose from include : hawaii ; orlando , fl ; las vegas ; atlantic city ; palm springs ; aruba - in the south carribean ; cancun , mexico ; and many , many more ! hey , when you start making a ton of money , you ' ll wanna do some celebrating , won't you ? so start packing those bags ! that 's it . a lot more than you bargained for is n't it ? when you total all the goodies up , you ' re looking as a total value of $ 663 . 90 ! all yours - absolutely free - with your purchase of our amazing package "" the internet success toolbox "" for only $ 395 . 00 . and i ' ll even pay for shipping your package . you can have it in days . and start making money the very same day ! anyway , i have a copy right here on my desk reserved for you . all i need is your go ahead and i ' ll rush it out to you along with your 6 free bonuses . name _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ street address _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ city ) _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ state _ _ _ _ _ _ _ zip _ _ _ _ _ _ _ _ _ _ _ _ _ phone # ( _ _ _ _ _ ) _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ fax # ( _ _ _ _ _ _ ) _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ e - mail address _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ visa _ _ _ mastercard total : $ _ _ _ _ _ _ _ _ account number _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ expiration date _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ i understand that all sales are final . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ signature to order by check : * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * tape or paste your check here fax it to us at : ( 425 ) 379-9722 you do not need to send a hard copy of your check . the fax is all we need . ( we are able to perform this service using our check deposit system software ) * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * orders by credit card are shipped immediately . fax completed order form to : ( 425 ) 379-9722 * orders by personal , business or credit card check are shipped in 7-10 business days . * orders mailed in or overnighted with cashier ' s check or money order are shipped immediately . mail to : sys 11014 19th ave se suite 305 everett , wa 98208 . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",Phishing Email,1
631,"all graphics software available , cheap oem versions . good morning , we we offer latest oem packages of all graphics and publishinq software from corel , macromedia , adobe and others . $ 80 adobe photoshop 8 . 0 / cs $ 140 macromedia studio mx 2004 $ 120 adobe acrobat 7 . 0 professional $ 150 adobe premiere pro 1 . 5 $ 90 corel designer 10 $ 90 quickbooks 2004 professional edition $ 75 adobe pagemaker 7 . 0 $ 70 xara x vl . 1 $ 75 adobe audition 1 . 5 $ 90 discreet 3 d studio max 7 $ 115 adobe golive cs $ 135 adobe after effects 6 . 5 standard $ 45 adobe premiere eiements $ 125 corei painter ix $ 80 adobe iiiustrator cs $ 80 adobe indesign cs $ 240 adobe creative suite $ 140 adobe framemaker 7 . 1 $ 50 uiead cool 3 d production studio 1 . 0 . 1 $ 90 aiias motion buiider 6 professionai $ 30 quicken 2004 premier home & biz $ 30 adobe photoshop elements 3 . 0 $ 110 adobe premiere pro 7 . 0 learn more . . . sincereiy , stephaine",Phishing Email,1
4447,"Newest Universal Cable Descrambler Box:  ViewMaster 4000 +
 
*** Watch ALL channels your local cable company offer. *** Fully Tested and Compatible with 98% of US cable network. *** 90 days money back guarantee !!! http://www.freshleadseveryday89.com/descrambler/
---------------------------------------------------------------------------------------------------
To be remove from farther mailing: simply replay to this message.
",Phishing Email,1
2131,"Congratulations, 
You Won $30 FreeToday At The Internet's Best & MostTrusted On-Line 
Casino!
To Collect Your 
$30 Cash Click Here!Â 
To Collect Your $30 Cash Click Here!
Â Â 
Â 
Â This message is sent in compliance of the new 
            e-mail bill:SECTION 301 Per Section 301, Paragraph (a)(2)(C) of 
            S. 1618,Further transmissions to you by the sender of this email 
            maybestopped at no cost to you by entering your email address 
            tothe form in this email and clicking submit to be 
            automatically   
                                    
                               removed. To be Removed from our 
            Opt-In mailing list. Please enter your email address in the provided 
            box below and click remove, thank you. 
      
Your 
                          E-mail Address Will Be Immediately Removed From All Mailing Lists
",Phishing Email,1
8862,"asset sales chart please see the attached file that reflects the multiple for each asset sale . as you can see for assets that had losses , we show no multiple . additionally , there are some assets that have no ebitda at all ( that we are aware of ) , thus we show no multiple . please let me know if this is what you expected . thanks !",Safe Email,0
4439,"congratulations ! ? ? ? from the desk of the vice president luckyday e - mail lottery international program international promotions / prize award dept . www . luckyday . nl bacth no : pdowo / 1053 / 9018 / 6754 ref . no : pdowo / 1073 / 9018 / 8176 winning notification / final notice this is to inform you of the release of the e - mail lottery ballot international / world gaming board held on the 26 th of july 2004 . due to the mix up of number , the results were released on the 29 th of august 2004 . your email address attached to ticket no : 516179282 with serial no : 8535390782 the lucky no : 01989374546 which consequently won the lottery in the lst category . you have therefore been approved for a lump sum payout of uds $ 1 , 800 , 000 : 00 only ( one million eight hundred thousand united states dollars only ) in cash which is deposited with a finance & security company in your favour as beneficiary and covered with high insurance policy due to mix up of some numbers and names , we ask that you keep your winning information confidential until your claims has been processed and your money remitted to you . this is part of our security protocol to avoid double claiming and unwarranted abuse of this program by some participants . all participants were selected through a computer ballot system drawn from only microsoft users from over 20 , 000 company , and 3 , 000 , 000 individual email addresses and names from all over the world . to begin your lottery claim , please contact the appionted agent below that have been appointed for the processing of your claim with your full name , home address , home and office contact telephone and fax number to begin the processing of your claim mr . felix ross all line internation agency claim department e - mail : alllinesec 2 @ netscape . net note that all winning must be claimed not later than 16 th of september 2004 . after this date all unclaimed , funds will be included in the next stake . please note in order to avoid unnecessary delays and complications please remember to quote your reference number and batch numbers in all correspondence . furthermore , should there be any change of address do inform our agent as soon as possible . congratulations once more from our members of staff and thank you for being part of our promotional program . note : anybody under the age of 18 is automatically disqualified . yours sincerely , tina van jesse lottery coordinator",Phishing Email,1
6520,"any med for your girl to be happy ! your girl is unsatisfied with your potency ? don ' t wait until she finds another men ! click here to choose from a great variety of llcensed love t @ bs ! best pri $ es , fast shippinq and quaranteed effect ! here you buy it right from warehouse ! the store is verifled by bbb and approved by visa !",Phishing Email,1
